center,left,right,steering,throttle,brake,speed
IMG\center_2017_08_05_10_36_17_776.jpg,IMG\left_2017_08_05_10_36_17_776.jpg,IMG\right_2017_08_05_10_36_17_776.jpg,-1,0,0,3.869749
IMG\center_2017_08_05_10_36_17_848.jpg,IMG\left_2017_08_05_10_36_17_848.jpg,IMG\right_2017_08_05_10_36_17_848.jpg,-1,0,0,3.818209
IMG\center_2017_08_05_10_36_17_919.jpg,IMG\left_2017_08_05_10_36_17_919.jpg,IMG\right_2017_08_05_10_36_17_919.jpg,-1,0,0,3.7796
IMG\center_2017_08_05_10_36_17_989.jpg,IMG\left_2017_08_05_10_36_17_989.jpg,IMG\right_2017_08_05_10_36_17_989.jpg,-1,0,0,3.731737
IMG\center_2017_08_05_10_36_18_059.jpg,IMG\left_2017_08_05_10_36_18_059.jpg,IMG\right_2017_08_05_10_36_18_059.jpg,-0.8946178,0,0,3.706757
IMG\center_2017_08_05_10_36_18_134.jpg,IMG\left_2017_08_05_10_36_18_134.jpg,IMG\right_2017_08_05_10_36_18_134.jpg,-0.6738093,0,0,3.694509
IMG\center_2017_08_05_10_36_18_203.jpg,IMG\left_2017_08_05_10_36_18_203.jpg,IMG\right_2017_08_05_10_36_18_203.jpg,-0.4646507,0.2091586,0,3.829577
IMG\center_2017_08_05_10_36_18_273.jpg,IMG\left_2017_08_05_10_36_18_273.jpg,IMG\right_2017_08_05_10_36_18_273.jpg,-0.2554336,0.4183756,0,4.077772
IMG\center_2017_08_05_10_36_18_347.jpg,IMG\left_2017_08_05_10_36_18_347.jpg,IMG\right_2017_08_05_10_36_18_347.jpg,-0.03345512,0.4155909,0,4.500582
IMG\center_2017_08_05_10_36_18_417.jpg,IMG\left_2017_08_05_10_36_18_417.jpg,IMG\right_2017_08_05_10_36_18_417.jpg,0,0.2054779,0,4.68255
IMG\center_2017_08_05_10_36_18_487.jpg,IMG\left_2017_08_05_10_36_18_487.jpg,IMG\right_2017_08_05_10_36_18_487.jpg,0,0,0,4.70013
IMG\center_2017_08_05_10_36_18_556.jpg,IMG\left_2017_08_05_10_36_18_556.jpg,IMG\right_2017_08_05_10_36_18_556.jpg,0,0,0,4.671764
IMG\center_2017_08_05_10_36_18_627.jpg,IMG\left_2017_08_05_10_36_18_627.jpg,IMG\right_2017_08_05_10_36_18_627.jpg,0,0,0,4.634203
IMG\center_2017_08_05_10_36_18_702.jpg,IMG\left_2017_08_05_10_36_18_702.jpg,IMG\right_2017_08_05_10_36_18_702.jpg,0,0.2223583,0,4.749665
IMG\center_2017_08_05_10_36_18_769.jpg,IMG\left_2017_08_05_10_36_18_769.jpg,IMG\right_2017_08_05_10_36_18_769.jpg,0,0.228367,0,4.91266
IMG\center_2017_08_05_10_36_18_839.jpg,IMG\left_2017_08_05_10_36_18_839.jpg,IMG\right_2017_08_05_10_36_18_839.jpg,0,0.02064364,0,4.959551
IMG\center_2017_08_05_10_36_18_910.jpg,IMG\left_2017_08_05_10_36_18_910.jpg,IMG\right_2017_08_05_10_36_18_910.jpg,0,0.1048462,0,4.968689
IMG\center_2017_08_05_10_36_18_981.jpg,IMG\left_2017_08_05_10_36_18_981.jpg,IMG\right_2017_08_05_10_36_18_981.jpg,0,0.3184737,0,5.178602
IMG\center_2017_08_05_10_36_19_053.jpg,IMG\left_2017_08_05_10_36_19_053.jpg,IMG\right_2017_08_05_10_36_19_053.jpg,0,0.5348882,0,5.501535
IMG\center_2017_08_05_10_36_19_151.jpg,IMG\left_2017_08_05_10_36_19_151.jpg,IMG\right_2017_08_05_10_36_19_151.jpg,0,0.6317698,0,6.090109
IMG\center_2017_08_05_10_36_19_223.jpg,IMG\left_2017_08_05_10_36_19_223.jpg,IMG\right_2017_08_05_10_36_19_223.jpg,0,0.8445674,0,6.797209
IMG\center_2017_08_05_10_36_19_293.jpg,IMG\left_2017_08_05_10_36_19_293.jpg,IMG\right_2017_08_05_10_36_19_293.jpg,0,1,0,7.460883
IMG\center_2017_08_05_10_36_19_367.jpg,IMG\left_2017_08_05_10_36_19_367.jpg,IMG\right_2017_08_05_10_36_19_367.jpg,0,1,0,8.369226
IMG\center_2017_08_05_10_36_19_435.jpg,IMG\left_2017_08_05_10_36_19_435.jpg,IMG\right_2017_08_05_10_36_19_435.jpg,0,0.8984361,0,9.029426
IMG\center_2017_08_05_10_36_19_503.jpg,IMG\left_2017_08_05_10_36_19_503.jpg,IMG\right_2017_08_05_10_36_19_503.jpg,-0.2,0.6950154,0,9.686564
IMG\center_2017_08_05_10_36_19_574.jpg,IMG\left_2017_08_05_10_36_19_574.jpg,IMG\right_2017_08_05_10_36_19_574.jpg,-0.35,0.482733,0,9.998127
IMG\center_2017_08_05_10_36_19_648.jpg,IMG\left_2017_08_05_10_36_19_648.jpg,IMG\right_2017_08_05_10_36_19_648.jpg,-0.5500001,0.2629999,0,10.18911
IMG\center_2017_08_05_10_36_19_720.jpg,IMG\left_2017_08_05_10_36_19_720.jpg,IMG\right_2017_08_05_10_36_19_720.jpg,-0.418325,0.04588866,0,10.21146
IMG\center_2017_08_05_10_36_19_791.jpg,IMG\left_2017_08_05_10_36_19_791.jpg,IMG\right_2017_08_05_10_36_19_791.jpg,-0.2059171,0,0,10.16138
IMG\center_2017_08_05_10_36_19_865.jpg,IMG\left_2017_08_05_10_36_19_865.jpg,IMG\right_2017_08_05_10_36_19_865.jpg,0,0,0,10.06986
IMG\center_2017_08_05_10_36_19_936.jpg,IMG\left_2017_08_05_10_36_19_936.jpg,IMG\right_2017_08_05_10_36_19_936.jpg,0,0,0,10.00778
IMG\center_2017_08_05_10_36_20_006.jpg,IMG\left_2017_08_05_10_36_20_006.jpg,IMG\right_2017_08_05_10_36_20_006.jpg,0,0,0,9.929278
IMG\center_2017_08_05_10_36_20_077.jpg,IMG\left_2017_08_05_10_36_20_077.jpg,IMG\right_2017_08_05_10_36_20_077.jpg,0,0,0,9.870931
IMG\center_2017_08_05_10_36_20_150.jpg,IMG\left_2017_08_05_10_36_20_150.jpg,IMG\right_2017_08_05_10_36_20_150.jpg,0,0,0,9.793645
IMG\center_2017_08_05_10_36_20_225.jpg,IMG\left_2017_08_05_10_36_20_225.jpg,IMG\right_2017_08_05_10_36_20_225.jpg,0,0,0,9.716979
IMG\center_2017_08_05_10_36_20_304.jpg,IMG\left_2017_08_05_10_36_20_304.jpg,IMG\right_2017_08_05_10_36_20_304.jpg,0,0,0,9.640943
IMG\center_2017_08_05_10_36_20_375.jpg,IMG\left_2017_08_05_10_36_20_375.jpg,IMG\right_2017_08_05_10_36_20_375.jpg,0,0,0,9.584325
IMG\center_2017_08_05_10_36_20_450.jpg,IMG\left_2017_08_05_10_36_20_450.jpg,IMG\right_2017_08_05_10_36_20_450.jpg,0,0,0,9.509376
IMG\center_2017_08_05_10_36_20_518.jpg,IMG\left_2017_08_05_10_36_20_518.jpg,IMG\right_2017_08_05_10_36_20_518.jpg,0,0,0,9.453568
IMG\center_2017_08_05_10_36_20_589.jpg,IMG\left_2017_08_05_10_36_20_589.jpg,IMG\right_2017_08_05_10_36_20_589.jpg,0,0,0,9.379683
IMG\center_2017_08_05_10_36_20_665.jpg,IMG\left_2017_08_05_10_36_20_665.jpg,IMG\right_2017_08_05_10_36_20_665.jpg,0,0,0,9.306252
IMG\center_2017_08_05_10_36_20_739.jpg,IMG\left_2017_08_05_10_36_20_739.jpg,IMG\right_2017_08_05_10_36_20_739.jpg,0,0,0,9.251258
IMG\center_2017_08_05_10_36_20_810.jpg,IMG\left_2017_08_05_10_36_20_810.jpg,IMG\right_2017_08_05_10_36_20_810.jpg,0,0,0,9.178273
IMG\center_2017_08_05_10_36_20_879.jpg,IMG\left_2017_08_05_10_36_20_879.jpg,IMG\right_2017_08_05_10_36_20_879.jpg,0,0,0,9.123666
IMG\center_2017_08_05_10_36_20_953.jpg,IMG\left_2017_08_05_10_36_20_953.jpg,IMG\right_2017_08_05_10_36_20_953.jpg,0,0,0,9.051371
IMG\center_2017_08_05_10_36_21_019.jpg,IMG\left_2017_08_05_10_36_21_019.jpg,IMG\right_2017_08_05_10_36_21_019.jpg,0,0,0,8.997186
IMG\center_2017_08_05_10_36_21_092.jpg,IMG\left_2017_08_05_10_36_21_092.jpg,IMG\right_2017_08_05_10_36_21_092.jpg,0,0,0,8.925463
IMG\center_2017_08_05_10_36_21_171.jpg,IMG\left_2017_08_05_10_36_21_171.jpg,IMG\right_2017_08_05_10_36_21_171.jpg,0,0,0,8.854325
IMG\center_2017_08_05_10_36_21_238.jpg,IMG\left_2017_08_05_10_36_21_238.jpg,IMG\right_2017_08_05_10_36_21_238.jpg,0,0,0,8.801353
IMG\center_2017_08_05_10_36_21_306.jpg,IMG\left_2017_08_05_10_36_21_306.jpg,IMG\right_2017_08_05_10_36_21_306.jpg,0,0,0,8.731226
IMG\center_2017_08_05_10_36_21_374.jpg,IMG\left_2017_08_05_10_36_21_374.jpg,IMG\right_2017_08_05_10_36_21_374.jpg,0,0,0,8.679003
IMG\center_2017_08_05_10_36_21_446.jpg,IMG\left_2017_08_05_10_36_21_446.jpg,IMG\right_2017_08_05_10_36_21_446.jpg,0,0,0,8.609865
IMG\center_2017_08_05_10_38_08_714.jpg,IMG\left_2017_08_05_10_38_08_714.jpg,IMG\right_2017_08_05_10_38_08_714.jpg,0,0,0,8.887327E-05
IMG\center_2017_08_05_10_38_08_813.jpg,IMG\left_2017_08_05_10_38_08_813.jpg,IMG\right_2017_08_05_10_38_08_813.jpg,0,0,0,8.705313E-05
IMG\center_2017_08_05_10_38_08_880.jpg,IMG\left_2017_08_05_10_38_08_880.jpg,IMG\right_2017_08_05_10_38_08_880.jpg,0,0,0,8.700303E-05
IMG\center_2017_08_05_10_38_08_947.jpg,IMG\left_2017_08_05_10_38_08_947.jpg,IMG\right_2017_08_05_10_38_08_947.jpg,0,0,0,8.696843E-05
IMG\center_2017_08_05_10_38_09_047.jpg,IMG\left_2017_08_05_10_38_09_047.jpg,IMG\right_2017_08_05_10_38_09_047.jpg,0,0,0,8.697664E-05
IMG\center_2017_08_05_10_38_09_147.jpg,IMG\left_2017_08_05_10_38_09_147.jpg,IMG\right_2017_08_05_10_38_09_147.jpg,0,0,0,8.92701E-05
IMG\center_2017_08_05_10_38_09_245.jpg,IMG\left_2017_08_05_10_38_09_245.jpg,IMG\right_2017_08_05_10_38_09_245.jpg,0,0,0,8.73187E-05
IMG\center_2017_08_05_10_38_09_313.jpg,IMG\left_2017_08_05_10_38_09_313.jpg,IMG\right_2017_08_05_10_38_09_313.jpg,0,0,0,8.810186E-05
IMG\center_2017_08_05_10_38_09_380.jpg,IMG\left_2017_08_05_10_38_09_380.jpg,IMG\right_2017_08_05_10_38_09_380.jpg,0,0,0,8.709853E-05
IMG\center_2017_08_05_10_38_09_479.jpg,IMG\left_2017_08_05_10_38_09_479.jpg,IMG\right_2017_08_05_10_38_09_479.jpg,0,0,0,8.833899E-05
IMG\center_2017_08_05_10_38_09_547.jpg,IMG\left_2017_08_05_10_38_09_547.jpg,IMG\right_2017_08_05_10_38_09_547.jpg,0,0,0,8.741627E-05
IMG\center_2017_08_05_10_38_09_647.jpg,IMG\left_2017_08_05_10_38_09_647.jpg,IMG\right_2017_08_05_10_38_09_647.jpg,0,0,0,8.757588E-05
IMG\center_2017_08_05_10_38_09_715.jpg,IMG\left_2017_08_05_10_38_09_715.jpg,IMG\right_2017_08_05_10_38_09_715.jpg,0,0,0,8.719995E-05
IMG\center_2017_08_05_10_38_09_816.jpg,IMG\left_2017_08_05_10_38_09_816.jpg,IMG\right_2017_08_05_10_38_09_816.jpg,0,0.3024277,0,0.2778263
IMG\center_2017_08_05_10_38_09_887.jpg,IMG\left_2017_08_05_10_38_09_887.jpg,IMG\right_2017_08_05_10_38_09_887.jpg,0,0.5057538,0,0.559687
IMG\center_2017_08_05_10_38_09_957.jpg,IMG\left_2017_08_05_10_38_09_957.jpg,IMG\right_2017_08_05_10_38_09_957.jpg,0,0.7216168,0,1.104185
IMG\center_2017_08_05_10_38_10_026.jpg,IMG\left_2017_08_05_10_38_10_026.jpg,IMG\right_2017_08_05_10_38_10_026.jpg,0,0.7229729,0,1.712006
IMG\center_2017_08_05_10_38_10_093.jpg,IMG\left_2017_08_05_10_38_10_093.jpg,IMG\right_2017_08_05_10_38_10_093.jpg,0,0.5223315,0,2.200918
IMG\center_2017_08_05_10_38_10_191.jpg,IMG\left_2017_08_05_10_38_10_191.jpg,IMG\right_2017_08_05_10_38_10_191.jpg,-0.25,0.2258476,0,2.550288
IMG\center_2017_08_05_10_38_10_291.jpg,IMG\left_2017_08_05_10_38_10_291.jpg,IMG\right_2017_08_05_10_38_10_291.jpg,-0.5000001,0,0,2.559183
IMG\center_2017_08_05_10_38_10_391.jpg,IMG\left_2017_08_05_10_38_10_391.jpg,IMG\right_2017_08_05_10_38_10_391.jpg,-0.6905593,0,0,2.508906
IMG\center_2017_08_05_10_38_10_458.jpg,IMG\left_2017_08_05_10_38_10_458.jpg,IMG\right_2017_08_05_10_38_10_458.jpg,-0.4905112,0,0,2.495387
IMG\center_2017_08_05_10_38_10_557.jpg,IMG\left_2017_08_05_10_38_10_557.jpg,IMG\right_2017_08_05_10_38_10_557.jpg,-0.5414943,0,0,2.461183
IMG\center_2017_08_05_10_38_10_658.jpg,IMG\left_2017_08_05_10_38_10_658.jpg,IMG\right_2017_08_05_10_38_10_658.jpg,-0.7914944,0,0,2.40984
IMG\center_2017_08_05_10_38_10_732.jpg,IMG\left_2017_08_05_10_38_10_732.jpg,IMG\right_2017_08_05_10_38_10_732.jpg,-0.9914944,0,0,2.360936
IMG\center_2017_08_05_10_38_10_800.jpg,IMG\left_2017_08_05_10_38_10_800.jpg,IMG\right_2017_08_05_10_38_10_800.jpg,-1,0,0,2.333138
IMG\center_2017_08_05_10_38_10_869.jpg,IMG\left_2017_08_05_10_38_10_869.jpg,IMG\right_2017_08_05_10_38_10_869.jpg,-1,0,0,2.302426
IMG\center_2017_08_05_10_38_10_937.jpg,IMG\left_2017_08_05_10_38_10_937.jpg,IMG\right_2017_08_05_10_38_10_937.jpg,-1,0,0,2.280028
IMG\center_2017_08_05_10_38_11_010.jpg,IMG\left_2017_08_05_10_38_11_010.jpg,IMG\right_2017_08_05_10_38_11_010.jpg,-1,0,0,2.250689
IMG\center_2017_08_05_10_38_11_081.jpg,IMG\left_2017_08_05_10_38_11_081.jpg,IMG\right_2017_08_05_10_38_11_081.jpg,-1,0,0,2.228629
IMG\center_2017_08_05_10_38_11_151.jpg,IMG\left_2017_08_05_10_38_11_151.jpg,IMG\right_2017_08_05_10_38_11_151.jpg,-1,0,0,2.199436
IMG\center_2017_08_05_10_38_11_218.jpg,IMG\left_2017_08_05_10_38_11_218.jpg,IMG\right_2017_08_05_10_38_11_218.jpg,-1,0,0,2.177412
IMG\center_2017_08_05_10_38_11_314.jpg,IMG\left_2017_08_05_10_38_11_314.jpg,IMG\right_2017_08_05_10_38_11_314.jpg,-1,0,0,2.141489
IMG\center_2017_08_05_10_38_11_412.jpg,IMG\left_2017_08_05_10_38_11_412.jpg,IMG\right_2017_08_05_10_38_11_412.jpg,-1,0,0,2.10654
IMG\center_2017_08_05_10_38_11_485.jpg,IMG\left_2017_08_05_10_38_11_485.jpg,IMG\right_2017_08_05_10_38_11_485.jpg,-1,0,0,2.086032
IMG\center_2017_08_05_10_38_11_553.jpg,IMG\left_2017_08_05_10_38_11_553.jpg,IMG\right_2017_08_05_10_38_11_553.jpg,-1,0,0,2.059213
IMG\center_2017_08_05_10_38_11_651.jpg,IMG\left_2017_08_05_10_38_11_651.jpg,IMG\right_2017_08_05_10_38_11_651.jpg,-1,0,0,2.026524
IMG\center_2017_08_05_10_38_11_723.jpg,IMG\left_2017_08_05_10_38_11_723.jpg,IMG\right_2017_08_05_10_38_11_723.jpg,-1,0,0,2.007346
IMG\center_2017_08_05_10_38_11_795.jpg,IMG\left_2017_08_05_10_38_11_795.jpg,IMG\right_2017_08_05_10_38_11_795.jpg,-1,0,0,1.982275
